Country Code,Date,GDP,GDP Per Capita
NLD,1991,303064750410.393,37231.9972741371
NLD,1990,286171150117.825,36633.0272428189
GRC,2019,336486248967.871,30314.5662843171
GRC,2018,325789646049.54,29711.9219354672
GRC,2017,312843008068.548,29089.0140066987
GRC,2016,299823740356.993,28601.0632605563
GRC,2015,291109078890.537,28536.8465089853
GRC,2014,292335538628.945,28474.11562719
GRC,2013,286168672044.05,28077.3661308356
GRC,2012,279267183855.415,28808.3073737596
GRC,2011,290296713794.743,30909.4916089023
GRC,2010,313282504359.011,33965.7109973323
GRC,2009,337523969989.556,35980.9224651024
GRC,2008,341817992911.939,37696.9309621102
GRC,2007,323607624217.038,37924.2450275154
GRC,2006,314242602601.216,36815.7292908136
GRC,2005,281028288404.685,34950.8890189059
GRC,2004,278670064907.415,34844.7629667314
GRC,2003,260858583966.021,33248.3821996222
GRC,2002,246559427995.662,31502.4052334736
GRC,2001,227711004033.73,30424.5772306879
GRC,2000,210967341177.736,29369.7188977053
GRC,1999,198711870544.202,28377.756375116
GRC,1998,193327891833.661,27637.5940451337
GRC,1997,182842063074.608,26749.3292096524
GRC,1996,171024542921.023,25727.9101110465
GRC,1995,162702585727.623,25122.4973430243
GRC,1994,156083758885.649,24721.0703799291
GRC,1993,149824064606.707,24358.0000240487
GRC,1992,148736355899.827,24900.1129446883
GRC,1991,144411273818.786,24916.6325116704
GRC,1990,135487383669.729,24459.2843846523
ROU,2019,625164173840.483,29908.9785921079
ROU,2018,568867842524.768,28565.4642103002
ROU,2017,532611099707.383,27191.6686640869
ROU,2016,476120109296.399,25238.1869018977
ROU,2015,428641451654.157,23944.301773163
ROU,2014,410588099293.823,22943.7430258446
ROU,2013,395622476975.585,22104.035682998
ROU,2012,379731788431.321,21274.4103264293
ROU,2011,360795114942.241,20748.9224877132
ROU,2010,343773106852.942,20240.8506320273
ROU,2009,339074965190.161,20937.8183362057
ROU,2008,344670870561.193,21976.6507956326
ROU,2007,285802256660.194,19773.0957040772
ROU,2006,244632686372.984,18168.8501473179
ROU,2005,204714313540.175,16719.1839056085
ROU,2004,192682779093.954,15875.1790415364
ROU,2003,162923336368.077,14294.3506226569
ROU,2002,155640767510.347,13866.9754530543
ROU,2001,144332298357.674,12880.8355047673
ROU,2000,131298091469.925,12072.3871346204
ROU,1999,125764065771.538,11767.1501736059
ROU,1998,124786089970.146,11793.1127768244
ROU,1997,125449680305.389,12012.5611233676
ROU,1996,129725832438.706,12588.4487174673
ROU,1995,122928550426.233,12080.1727266675
ROU,1994,113338891329.473,11348.3559052
ROU,1993,106771098534.34,10903.1636093141
ROU,1992,102729378439.275,10724.3755487682
ROU,1991,110092493400.936,11649.2363237225
ROU,1990,122288737292.878,13261.6457422646
HRV,2019,121916910631.264,28508.5166054649
HRV,2018,114617743866.205,27557.537629951
HRV,2017,109694949314.833,26595.738840327
HRV,2016,103182099920.947,25478.5314816333
HRV,2015,96739632455.977,24449.4667091794
HRV,2014,93507647316.3196,23671.8825722687
HRV,2013,92642901896.8506,23600.1802101007
HRV,2012,90201146678.8162,23664.3534678411
HRV,2011,88795201139.4359,24132.1242805057
HRV,2010,84947206694.1289,24123.6809077806
HRV,2009,86163548533.3302,24434.6732458061
HRV,2008,89539883304.3465,26348.0896640308
HRV,2007,83418284099.1955,25889.3990724817
HRV,2006,75136163055.6407,24588.8006363153
HRV,2005,65962085047.1329,23423.2341361823
HRV,2004,62565212792.8475,22483.4620903157
